Session ID,Timestamp,Function Name,Execution Time (s),CPU Usage (%),Memory Usage (MB),Arguments
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,generate_random_polygons,0.16895198822021484,24.8,97.4375,"{""args"": [], ""kwargs"": {""n"": 10000}}"
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,generate_random_polygons,0.12191987037658691,74.0,19.296875,"{""args"": [], ""kwargs"": {""n"": 10000}}"
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,convert_col_to_string,0.0525660514831543,20.900000000000002,0.109375,"{""args"": [""                                               geometry  \\\n0     POLYGON ((13.68893 -82.92207, 13.68893 -81.241...   \n1     POLYGON ((3.55822 28.42233, 3.55822 29.99039, ...   \n2     POLYGON ((164.22101 41.67452, 164.22101 42.777...   \n3     POLYGON ((139.93503 38.06977, 139.93503 39.248...   \n4     POLYGON ((136.14466 -46.46209, 136.14466 -45.2...   \n...                                                 ...   \n9995  POLYGON ((7.25884 -39.82575, 7.25884 -38.34682...   \n9996  POLYGON ((-44.21333 -41.75869, -44.21333 -39.8...   \n9997  POLYGON ((102.45559 -82.55953, 102.45559 -81.3...   \n9998  POLYGON ((84.81278 -17.59001, 84.81278 -15.746...   \n9999  POLYGON ((-56.97743 81.93266, -56.97743 83.282...   \n\n                                        id  \n0     c09afe8e-78cc-4111-9e89-ed4b90a5a90e  \n1     44563800-7fe7-4e7c-949c-e4104edb00ce  \n2     55ddaac0-aa75-40f0-9303-61a3d8d6e213  \n3     f32f40bb-db3a-4e57-b4bb-e377fe99df0a  \n4     6e8e4477-1455-4393-aa2b-b506133e6774  \n...                                    ...  \n9995  3129df3b-2453-4de6-a04d-8a8518b99323  \n9996  26785901-fc9c-41e7-a44e-2561d3d0a722  \n9997  205ef9b4-dbc3-4c92-90fd-2d67c0a70a28  \n9998  5c1e1ece-c9dc-4e40-87bf-e3134b8d4911  \n9999  18bf8058-cdc1-42c0-bfad-b82edbb5c6bc  \n\n[10000 rows x 2 columns]""], ""kwargs"": {}}"
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,convert_col_to_string,0.046041011810302734,0.0,0.0,"{""args"": [""                                               geometry  \\\n0     POLYGON ((169.37689 -75.96489, 169.37689 -74.4...   \n1     POLYGON ((-160.34224 -68.02189, -160.34224 -66...   \n2     POLYGON ((-129.54632 -25.34978, -129.54632 -24...   \n3     POLYGON ((170.09376 -69.69604, 170.09376 -68.5...   \n4     POLYGON ((-156.02991 -37.45987, -156.02991 -36...   \n...                                                 ...   \n9995  POLYGON ((3.84272 71.33253, 3.84272 73.20696, ...   \n9996  POLYGON ((16.40130 -0.51485, 16.40130 1.13533,...   \n9997  POLYGON ((-143.18236 -23.99363, -143.18236 -22...   \n9998  POLYGON ((124.86403 -17.86778, 124.86403 -16.0...   \n9999  POLYGON ((52.19109 21.34343, 52.19109 22.70131...   \n\n                                        id  \n0     e10b9efb-390a-4887-8c22-d9847d6d1471  \n1     e810594b-0581-407d-aa4e-b0a929989458  \n2     455ace05-4499-45fa-a4e6-6a17abffedea  \n3     29ab87be-2e4a-4948-b795-7f4aef20c0ba  \n4     e9327341-768e-4c9f-afeb-d54b1188ff3e  \n...                                    ...  \n9995  1ad96a5c-b151-40fd-9b45-d64ff0179b39  \n9996  e8e37cd3-64dd-4392-9279-7271b2c6eda4  \n9997  56926677-3d21-46b9-9e1e-be4fa8708cc8  \n9998  942cd56f-ee3d-4b33-b9b5-96dc2896c18c  \n9999  2b8115c7-03c8-4533-96e9-ab726e6ae06f  \n\n[10000 rows x 2 columns]""], ""kwargs"": {}}"
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,df_itertuple,0.0019342899322509766,0.0,0.0,"{""args"": [""                                               geometry  \\\n0     POLYGON ((13.688925 -82.922073, 13.688925 -81....   \n1     POLYGON ((3.558217 28.422329, 3.558217 29.9903...   \n2     POLYGON ((164.221006 41.674516, 164.221006 42....   \n3     POLYGON ((139.935033 38.069772, 139.935033 39....   \n4     POLYGON ((136.144664 -46.462091, 136.144664 -4...   \n...                                                 ...   \n9995  POLYGON ((7.258844 -39.825753, 7.258844 -38.34...   \n9996  POLYGON ((-44.213331 -41.75869, -44.213331 -39...   \n9997  POLYGON ((102.45559 -82.559531, 102.45559 -81....   \n9998  POLYGON ((84.812779 -17.590014, 84.812779 -15....   \n9999  POLYGON ((-56.977425 81.932662, -56.977425 83....   \n\n                                        id  \n0     c09afe8e-78cc-4111-9e89-ed4b90a5a90e  \n1     44563800-7fe7-4e7c-949c-e4104edb00ce  \n2     55ddaac0-aa75-40f0-9303-61a3d8d6e213  \n3     f32f40bb-db3a-4e57-b4bb-e377fe99df0a  \n4     6e8e4477-1455-4393-aa2b-b506133e6774  \n...                                    ...  \n9995  3129df3b-2453-4de6-a04d-8a8518b99323  \n9996  26785901-fc9c-41e7-a44e-2561d3d0a722  \n9997  205ef9b4-dbc3-4c92-90fd-2d67c0a70a28  \n9998  5c1e1ece-c9dc-4e40-87bf-e3134b8d4911  \n9999  18bf8058-cdc1-42c0-bfad-b82edbb5c6bc  \n\n[10000 rows x 2 columns]""], ""kwargs"": {}}"
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,df_itertuple,0.001046895980834961,0.0,0.0,"{""args"": [""                                               geometry  \\\n0     POLYGON ((169.376894 -75.964892, 169.376894 -7...   \n1     POLYGON ((-160.342244 -68.021887, -160.342244 ...   \n2     POLYGON ((-129.546317 -25.349775, -129.546317 ...   \n3     POLYGON ((170.093764 -69.696042, 170.093764 -6...   \n4     POLYGON ((-156.029907 -37.459867, -156.029907 ...   \n...                                                 ...   \n9995  POLYGON ((3.842716 71.332526, 3.842716 73.2069...   \n9996  POLYGON ((16.401301 -0.514852, 16.401301 1.135...   \n9997  POLYGON ((-143.182358 -23.993633, -143.182358 ...   \n9998  POLYGON ((124.86403 -17.867779, 124.86403 -16....   \n9999  POLYGON ((52.191095 21.34343, 52.191095 22.701...   \n\n                                        id  \n0     e10b9efb-390a-4887-8c22-d9847d6d1471  \n1     e810594b-0581-407d-aa4e-b0a929989458  \n2     455ace05-4499-45fa-a4e6-6a17abffedea  \n3     29ab87be-2e4a-4948-b795-7f4aef20c0ba  \n4     e9327341-768e-4c9f-afeb-d54b1188ff3e  \n...                                    ...  \n9995  1ad96a5c-b151-40fd-9b45-d64ff0179b39  \n9996  e8e37cd3-64dd-4392-9279-7271b2c6eda4  \n9997  56926677-3d21-46b9-9e1e-be4fa8708cc8  \n9998  942cd56f-ee3d-4b33-b9b5-96dc2896c18c  \n9999  2b8115c7-03c8-4533-96e9-ab726e6ae06f  \n\n[10000 rows x 2 columns]""], ""kwargs"": {}}"
sid_2025-02-26_21-42-53,2025-02-26 21:42:53,create_pg_db,0.11027383804321289,0.0,0.0,"{""args"": [], ""kwargs"": {}}"
